317ffda was Genevieve Clifford, 15 hours ago, message: to stop changes in DS_file appearing
ead51eb was Genevieve Clifford, 2 days ago, message: h
1761f41 was Genevieve Clifford, 2 days ago, message: Merge branch 'master' of https://github.com/merchygoedwig/3po_classwork
42892c8 was Genevieve Clifford, 2 days ago, message: added mansi's soln to qiii
b62f886 was Genevieve Clifford, 2 days ago, message: Merge branch 'master' of https://github.com/merchygoedwig/3po_classwork
8184884 was Genevieve Clifford, 2 days ago, message: files from week 4 and previous
63c3184 was Genevieve Clifford, 2 days ago, message: added files from previous day
d52ce1f was Genevieve Clifford, 3 weeks ago, message: slightly unfinished q2 (no output, but underlying maths is fine)
8b44372 was Genevieve Clifford, 3 weeks ago, message: finished q1
b3acb02 was Genevieve Clifford, 4 weeks ago, message: added files for tut2
5e078d3 was sxc1065, 4 weeks ago, message: completed q3
8111660 was sxc1065, 4 weeks ago, message: completed q2
b1bdc8b was sxc1065, 4 weeks ago, message: finished q1
45c8f8d was Genevieve Clifford, 5 weeks ago, message: added python version of q1 and edited matlab version to be equivalent
8852527 was Genevieve Clifford, 5 weeks ago, message: holy cow! a new and improved debugger? twice in one lifetime!?
fbe1642 was Genevieve Clifford, 5 weeks ago, message: fixed formatting on q4
d9b0dbc was Genevieve Clifford, 5 weeks ago, message: completed q4
c3caa5c was sxc1065, 5 weeks ago, message: initialised q4, not finished yet though
51f04c1 was Genevieve Clifford, 5 weeks ago, message: added notes for q3
c1f5dde was Genevieve Clifford, 5 weeks ago, message: completed q3
3b11074 was Genevieve Clifford, 5 weeks ago, message: initialised q3
e3aedaf was Genevieve Clifford, 5 weeks ago, message: completed t1,q2
c0aa7f3 was Genevieve Clifford, 5 weeks ago, message: changed title of readme
a6d806e was Genevieve Clifford, 5 weeks ago, message: Create README.md
a7261c3 was Genevieve Clifford, 5 weeks ago, message: Revert "added readme"
ab0a856 was Genevieve Clifford, 5 weeks ago, message: added readme
012dd84 was Genevieve Clifford, 6 weeks ago, message: added gitattributes file
97ac6a6 was Genevieve Clifford, 6 weeks ago, message: added fprintf to print data
681ed25 was Genevieve Clifford, 6 weeks ago, message: added q1 m file
1df2548 was Genevieve Clifford, 6 weeks ago, message: initialised repo
3599208 was Genevieve Clifford, 6 weeks ago, message: first commit
